,complex_id,complex_name
0,sr:complex:705,Nacional
1,sr:complex:1078,Estadio de la Cartuja
2,sr:complex:1495,Sibur Arena
3,sr:complex:2375,Complexo de Tenis do Jamor
4,sr:complex:4032,Shree Shiv Chhatrapati Sports Complex
5,sr:complex:5520,O2 Arena
6,sr:complex:5526,Ostravar Arena
7,sr:complex:6310,Varazdin Arena
8,sr:complex:6484,Arena Montpellier
9,sr:complex:6736,Arenes de Metz
10,sr:complex:6888,Palais des sports de Pau
11,sr:complex:6890,Palais des Sports Orleans
12,sr:complex:6904,Stade Pierre-de-Coubertin
13,sr:complex:7048,Palacio de Deportes Jose Maria Martin Carpena
14,sr:complex:7052,Pabellon Municipal Fuente San Luis
15,sr:complex:7208,Unipol Arena
16,sr:complex:7778,Arena Gripe
17,sr:complex:9725,Arena Armeets Sofia
18,sr:complex:10063,Kindarena
19,sr:complex:11769,Estadio German Becker
20,sr:complex:12241,Palais des sports de Gerland
21,sr:complex:15014,Palais Des Sport
22,sr:complex:15371,Palasport
23,sr:complex:16020,Salle Steredenn
24,sr:complex:16069,Garanti Koza Arena
25,sr:complex:16612,Porsche-Arena
26,sr:complex:17254,Poliesportiu d'Andorra
27,sr:complex:17945,Rotterdam Ahoy
28,sr:complex:18201,The O2
29,sr:complex:18221,Bluesun Tennis Center
30,sr:complex:19166,Shlomo Group Arena
31,sr:complex:19737,"Club Sonoma, Estadio Gnp Seguros"
32,sr:complex:19951,Accor Arena
33,sr:complex:21870,Stadium Goran Ivanisevic in ITC Stella Maris
34,sr:complex:21910,Roy Emerson Arena
35,sr:complex:26983,Club de Tenis Puente Romano
36,sr:complex:26985,National Tennis Center
37,sr:complex:27093,Canberra Tennis Centre
38,sr:complex:27095,BT Arena
39,sr:complex:28457,Valletta Cambiaso ASD
40,sr:complex:28617,Porsche Arena
41,sr:complex:28926,Royal Arena
42,sr:complex:32327,Taipei Arena
43,sr:complex:32403,Ohio State University GC
44,sr:complex:32668,Shenzhen Bay Sports Center
45,sr:complex:32812,Singapore Indoor Stadium
46,sr:complex:33186,Palais des Sports de Marseille
47,sr:complex:33188,Caja Magica
48,sr:complex:33190,All England Lawn Tennis and Croquet Club
49,sr:complex:33192,Stade Roland Garros
50,sr:complex:33194,Complexe Al Amal
51,sr:complex:33196,Melbourne Park
52,sr:complex:33198,Qi zhong Forest Sports City Arena
53,sr:complex:33200,Wake Forest University Tennis Complex
54,sr:complex:33204,Clube de Ténis do Estoril
55,sr:complex:33206,The Drive
56,sr:complex:33208,Atlantic Station
57,sr:complex:33210,International Tennis Hall of Fame
58,sr:complex:33214,Club Jacaranda Cumbaya
59,sr:complex:33218,Hengqin International Tennis Center Zhuhai
60,sr:complex:33222,Buenos Aires Lawn Tennis Club
61,sr:complex:33226,The Racquet Club of Memphis
62,sr:complex:33228,Delray Beach Tennis Center
63,sr:complex:33230,CK Sportcenter Kockelscheuer
64,sr:complex:33232,Singapore Sports Hub
65,sr:complex:33234,Linzer Sporthalle
66,sr:complex:33236,Luzhniki Olympic Complex
67,sr:complex:33238,Ariake Colosseum
68,sr:complex:33240,Optics Valley International Tennis Center
69,sr:complex:33242,Guangzhou Tianhe Sports Center
70,sr:complex:33244,Olympic Park Tennis Center
71,sr:complex:33246,Victoria Park Tennis Court
72,sr:complex:33248,Tianjin Tuanbo International Tennis Center
73,sr:complex:33250,Tashkent Tennis Centreake
74,sr:complex:33252,China National Tennis Center
75,sr:complex:33254,Utsubo Tennis Center
76,sr:complex:33258,Connecticut Tennis Center
77,sr:complex:33262,Santa Catarina Tennis Federation
78,sr:complex:33264,Baku Tennis Academy
79,sr:complex:33266,Sobeys Stadium
80,sr:complex:33268,Lindner Family Tennis Center
81,sr:complex:33270,Taube Tennis Stadium
82,sr:complex:33274,Tennis Club de Strasbourg
83,sr:complex:33276,Edgbaston Priory Club
84,sr:complex:33278,Royal Tennis Club de Marrakech
85,sr:complex:33280,Tennis Club 1.FCN
86,sr:complex:33282,Devonshire Park International Tennis Centre
87,sr:complex:33286,Tennis Club Sparta Praha
88,sr:complex:33288,Club Campestre El Rancho
89,sr:complex:33290,Khalifa International Tennis & Squash Complex
90,sr:complex:33292,Club Sonoma
91,sr:complex:33294,Centre Municipal de Tennis Vall d Hebron
92,sr:complex:33296,Jockey Club Brasileiro
93,sr:complex:33298,Acapulco Princess Mundo Imperial
94,sr:complex:33300,Tennis Center at Crandon Park
95,sr:complex:33302,Family Circle Tennis Center
96,sr:complex:33306,Indian Wells Tennis Garden
97,sr:complex:33310,Aviation Club Tennis Centre
98,sr:complex:33316,Indianapolis Tennis Center
99,sr:complex:33318,SKT Sopot
100,sr:complex:33320,St. Jakobshalle Basel
101,sr:complex:33322,"Wien, Wiener Stadthalle"
102,sr:complex:33324,L'Agora
103,sr:complex:33328,ASB Tennis Centre
104,sr:complex:33332,NSW Tennis Centre
105,sr:complex:33334,Shenzhen Longgang Sports Center
106,sr:complex:33336,Queensland Tennis Centre
107,sr:complex:33338,Am Rothenbaum
108,sr:complex:33340,Kungliga Tennishallen
109,sr:complex:33342,Kitzbuehel Tennis Club Sportfeld 2
110,sr:complex:33344,The Queens Club
111,sr:complex:33346,Gerry Weber Stadium
112,sr:complex:33348,Nottingham Tennis Centre
113,sr:complex:33350,Bastad Tennis Stadium
114,sr:complex:33354,Nice Lawn Tennis Club
115,sr:complex:33356,Tennis Club de Geneve
116,sr:complex:33358,Koza World of Sport Complex
117,sr:complex:33362,Tennis Club Weissenhof
118,sr:complex:33364,Autotron Rosmalen
119,sr:complex:33366,BNR arena
120,sr:complex:33368,MTTC Iphitos e.V.
121,sr:complex:33370,Monte-Carlo Country Club
122,sr:complex:33372,Real Club de Tenis Barcelona
123,sr:complex:33374,Hiroshima Regional Park
124,sr:complex:33380,Europe Tennis Center
125,sr:complex:33382,Tennis Club Lido Lugano
126,sr:complex:33386,Nemzeti Edzes Kozpont
127,sr:complex:33390,Lyon Tennis Club
128,sr:complex:33392,Sichuan International Tennis Center
129,sr:complex:33394,Swiss Tennis Arena
130,sr:complex:33400,Nanchang International Tennis Center
131,sr:complex:33402,Louisville Boat Club
132,sr:complex:33406,Rochusclub
133,sr:complex:33408,Shenzhen Luohu Tennis Centre
134,sr:complex:33410,Yang-Ming Tennis Centre
135,sr:complex:33418,Country Club Santa Ponsa
136,sr:complex:33422,Royal Primerose Tennis Club
137,sr:complex:33424,The Tennis Center at College Park
138,sr:complex:33426,Tennis Center Novak
139,sr:complex:33428,Farum Arena
140,sr:complex:33430,Racquet Club of the South
141,sr:complex:33434,Atlanta Athletic Club
142,sr:complex:33436,Madrid Arena
143,sr:complex:33438,Club Avantage Multi-Sports
144,sr:complex:33440,Rama Gardens Hotel
145,sr:complex:33442,Delmar International School
146,sr:complex:33444,OMNI LA COSTA RESORT & SPA
147,sr:complex:33446,Country Time Club
148,sr:complex:33448,ŠRC MARINA PORTOROŽ
149,sr:complex:33450,Fangcun Tennis Sports Center
150,sr:complex:33454,Netaji Indoor Stadium
151,sr:complex:33456,Holiday Inn Crowne Plaza Hotel Asheville
152,sr:complex:33458,Ligue d'Alsace de Tennis
153,sr:complex:33460,I. Czech Lawn Tennis Club Praha
154,sr:complex:33462,Fes Country Club
155,sr:complex:33466,Warszawianka Tennis Centre
156,sr:complex:33468,LTTC Rot-Weiss
157,sr:complex:33470,Amelia Island Plantation Resort
158,sr:complex:33472,Romai Tennis Academy
159,sr:complex:33474,El Recinto Ferial Casa de Campo
160,sr:complex:33476,Impact Arena
161,sr:complex:33478,Tokyo Metropolitan Gymnasium
162,sr:complex:33482,Sporting Club de Tenis Valencia
163,sr:complex:33484,Pörtschach Werzer Arena
164,sr:complex:33486,Club Naval de Campo las Salinas
165,sr:complex:33488,Hilton DFW Lakes
166,sr:complex:33490,Sportingclub Bokkeduinen
167,sr:complex:33492,Baku Tennis Academy
168,sr:complex:33808,USTA Billie Jean King National Tennis Center
169,sr:complex:34336,Emirates Arena
170,sr:complex:34586,Lanxess Arena
171,sr:complex:34736,Tiburon Peninsula Club
172,sr:complex:34766,Country Club de Bogota
173,sr:complex:34812,Almaty Tennis Center
174,sr:complex:34814,Sociedade Hipica de Campinas
175,sr:complex:34816,Eve Zimmermann Tennis Center
176,sr:complex:34896,Circolo del Tennis Firenze 1898
177,sr:complex:35048,Sanchez-Casal Tennis Academy
178,sr:complex:35052,Santo Domingo Tennis Club La Bocha
179,sr:complex:35054,Solano Community College Tennis Center
180,sr:complex:35142,Lotto Arena
181,sr:complex:35212,TC Ismaning
182,sr:complex:35214,Osten & Victor Alberta Tennis Centre
183,sr:complex:35236,"Ningbo Tennis Center of WTA Ningbo, China w42"
184,sr:complex:35290,Club Tennis Las Terrazas de Miraflores
185,sr:complex:35292,Liuzhou Tennis Center
186,sr:complex:35458,Shree Shiv Chhatrapati Sports Complex
187,sr:complex:35512,The Boar's Head Sports Club
188,sr:complex:35516,Anexo Guayaquil Tenis Club
189,sr:complex:35580,Uber Arena
190,sr:complex:35592,Sporting Milano 3
191,sr:complex:35638,Fiera Milano stadium
192,sr:complex:35640,AXA Arena NTC
193,sr:complex:35642,Vendéspace
194,sr:complex:35644,Carrasco Lawn Tennis Club
195,sr:complex:35646,Goodfriend Indoor Tennis Center
196,sr:complex:35648,Palais des sports de Beaublanc
197,sr:complex:35684,Miki Disaster Management Park
198,sr:complex:35688,Karnataka State Lawn Tennis Association
199,sr:complex:35690,"Racket Club, Argentina"
200,sr:complex:35692,Atkins Tennis Center
201,sr:complex:35694,Rice Stadium (Brian Patterson Sports Performance Center)
202,sr:complex:35870,Mhalunge Balewadi Tennis Complex
203,sr:complex:35902,Palazzetto dello Sport
204,sr:complex:36493,ASB Tennis Arena
205,sr:complex:36495,Domain Tennis Centre
206,sr:complex:36497,Ohio State Varsity Tennis Center
207,sr:complex:36573,EPG Arena
208,sr:complex:36783,Newport Beach Tennis Club
209,sr:complex:36785,Burnie Tennis Club
210,sr:complex:36787,Cantegril Country Club
211,sr:complex:37001,Francoise Savatier
212,sr:complex:37003,Francoise Savatier
213,sr:complex:37007,Salle Collete-Benson
214,sr:complex:38029,True Arena Hua Hin
215,sr:complex:38041,Launceston Regional Tennis Centre
216,sr:complex:38043,True Arena Hua Hin
217,sr:complex:38045,Parc des Expositions Quimper Cornouaille
218,sr:complex:38047,Cleveland Racquet Club
219,sr:complex:38187,Sud de France Arena
220,sr:complex:38189,Estadio Mario Alberto Kempes
221,sr:complex:38191,T Bar M Racquet Club
222,sr:complex:38193,SYMA Sports and Conference Centre
223,sr:complex:38195,SDAT Tennis Stadium
224,sr:complex:38277,Club Campestre Sede Llanogrande
225,sr:complex:38285,Complexe Sportif Chantereyne
226,sr:complex:38313,Dubai Duty Free Tennis Stadium
227,sr:complex:38315,Hotel Racquet Cuernavaca
228,sr:complex:38419,Indian Wells Tennis Garden
229,sr:complex:38421,"Mamushidani Tennis Courts, Keio University"
230,sr:complex:38451,Palais des Sports de Pau
231,sr:complex:38483,Manquehue Sports Club
232,sr:complex:38603,Shenzhen International Tennis Center
233,sr:complex:38625,The Phoenix Country Club
234,sr:complex:38631,The Phoenix Country Club
235,sr:complex:38678,Hard Rock Stadium
236,sr:complex:38680,Centro Panamericano de Tenis
237,sr:complex:38684,Club Los Lagartos
238,sr:complex:38690,TK Sparta Praha
239,sr:complex:38692,Hot Springs Tennis Center
240,sr:complex:38694,Club des Cheminots
241,sr:complex:38698,La Caja Magica
242,sr:complex:38702,Tennis Club Kastela
243,sr:complex:38704,River Oaks Country Club
244,sr:complex:38712,National Tennis Center
245,sr:complex:38716,Clube de Ténis do Estoril
246,sr:complex:38720,Parc De La TeTe D'or
247,sr:complex:38722,"TC Weissenhof, Stuttgart"
248,sr:complex:38732,Tennis Club Lillois Lille Metropole
249,sr:complex:38856,Sala Polivalenta Piatra Neamt
250,sr:complex:38858,The National Tennis Development Center
251,sr:complex:38862,Complejo Polideportivo de Cuidad Merliot
252,sr:complex:38882,JC Ferrero Equelite Sport Academy
253,sr:complex:38884,Mouratoglou Tennis Academy
254,sr:complex:38986,National Taiwan University Sports Center
255,sr:complex:38988,Circolo Tennis Barletta
256,sr:complex:38990,Murcia Tennis Club 1919
257,sr:complex:39000,El Club el Carmel
258,sr:complex:39093,Laurel Oak Country Club
259,sr:complex:39095,Club Deportivo Potosino
260,sr:complex:39097,Au Tennis Club De Tunis
261,sr:complex:39167,Tali Tennis Center
262,sr:complex:39377,Jinwol International Tennis Court
